브랜드,차종,세부차종,가격
BMW,1시리즈,1시리즈 2세대 (12~19년),4370
BMW,1시리즈,1시리즈 3세대 (20년~현재),4200
BMW,2시리즈,2시리즈 1세대 (13~16년),5000
BMW,2시리즈,2시리즈 그란 쿠페,4210
BMW,2시리즈,2시리즈 액티브 투어러 1세대 (14년~현재),4190
BMW,3시리즈,3시리즈 4세대 (97~06년),6110
BMW,3시리즈,3시리즈 5세대 (05~13년),6000
BMW,3시리즈,3시리즈 6세대 (12~18년),5800
BMW,3시리즈,3시리즈 7세대 (19년~현재),5180
BMW,4시리즈,4시리즈 1세대 (13~20년),6300
BMW,5시리즈,5시리즈 4세대 (95~03년),8500
BMW,5시리즈,5시리즈 5세대 (03~10년),7000
BMW,5시리즈,5시리즈 6세대 (10~16년),7500
BMW,5시리즈,5시리즈 7세대 (17년~현재),8000
BMW,6시리즈,6시리즈 2세대 (03~10년),15000
BMW,6시리즈,6시리즈 3세대 (11~18년),12000
BMW,6시리즈,6시리즈 4세대 (18~현재),8150
BMW,7시리즈,7시리즈 3세대 (94~01년),9500
BMW,7시리즈,7시리즈 4세대 (02~09년),14000
BMW,7시리즈,7시리즈 5세대 (08~15년),15000
BMW,7시리즈,7시리즈 6세대 (16년~현재),17000
BMW,i3,i3 (14년~현재),6200
BMW,i8,i8 (15년~현재),20000
BMW,M2,M2 (16년~현재),11550
BMW,M3,M3 5세대 (14년~현재),12000
BMW,M4,M4 1세대 (14년~현재),11810
BMW,M5,M5 5세대 (12~17년),14280
BMW,M5,M5 6세대 (18년~현재),17000
BMW,M6,M6 2세대 (05~10년),18500
BMW,X1,X1 1세대 (10~15년),5000
BMW,X1,X1 2세대 (16년~현재),5000
BMW,X2,X2 (18년~현재),5500
BMW,X3,X3 1세대 (04~10년),7410
BMW,X3,X3 2세대 (11~17년),6850
BMW,X3,X3 3세대 (17년~현재),7500
BMW,X4,X4 1세대 (14~18년),7000
BMW,X4,X4 2세대 (18년~현재),8000
BMW,X5,X5 3세대 (13~18년),10500
BMW,X5,X5 4세대 (19년~현재),11000
BMW,X6,X6 1세대 (08~14년),11000
BMW,X6,X6 2세대 (14~19년),12500
BMW,X6,X6 3세대 (20년~현재),13000
BMW,X7,X7 (19년~현재),13000
BMW,Z4,Z4 1세대 (02~09년),7000
BMW,Z4,Z4 2세대 (09~16년),8500
기아,니로,니로 (16~19년),3000
기아,니로,니로 EV (18년~현재),5000
기아,니로,더 뉴 니로 (19년~현재),3200
기아,레이,더 뉴 레이 (17년~현재),1300
기아,레이,레이 (11~17년),1500
기아,레토나,레토나 (98~03년),1500
기아,로체,로체 (05~07년),2500
기아,로체,로체 어드밴스 (07~08년),2000
기아,로체,로체 이노베이션 (08~10년),2200
기아,모닝,뉴모닝 (08~11년),1000
기아,모닝,더 뉴 모닝 (15~17년),1000
기아,모닝,모닝 (04~08년),1000
기아,모닝,모닝 어반 (20년~현재),1250
기아,모닝,올 뉴 모닝 (11~15년),1300
기아,모닝,올 뉴 모닝 (17~20년),1350
기아,모하비,더 뉴 모하비 (16년~19년),4400
기아,모하비,모하비 (07~16년),4000
기아,모하비,모하비 더 마스터 (19년~현재),5250
기아,봉고,더 뉴 봉고3 (19년~현재),2500
기아,봉고,봉고3 (04~19년),1500
기아,봉고,봉고3 EV (20년~현재),4500
기아,셀토스,셀토스 (19년~현재),2750
기아,스토닉,스토닉 (17년~현재),2000
기아,스팅어,스팅어 (17~20년),4000
기아,스팅어,스팅어 마이스터 (20년~현재),4500
기아,스포티지,기아 더 SUV 스포티지,2500
기아,스포티지,뉴 스포티지 (04~10년),3000
기아,스포티지,더 뉴 스포티지R (13~16년),2500
기아,스포티지,스포티지 4세대 (15~18년),2500
기아,스포티지,스포티지 더 볼드 (18년~현재),3000
기아,스포티지,스포티지R (10~13년),2500
기아,쏘렌토,뉴 쏘렌토R (12~14년),3000
기아,쏘렌토,더 뉴 쏘렌토 (17~20년),3200
기아,쏘렌토,쏘렌토 (02~06년),2500
기아,쏘렌토,쏘렌토 4세대 (20년~현재),4000
기아,쏘렌토,쏘렌토 4세대 하이브리드 (20년~현재),4500
기아,쏘렌토,쏘렌토R (09~12년),3000
기아,쏘렌토,올 뉴 쏘렌토 (14~17년),3000
기아,쏘렌토,MQ4,4000
기아,쏘울,더 뉴 쏘울 (16~19년),2500
기아,쏘울,쏘울 (08~13년),2000
기아,쏘울,쏘울 부스터 (19년~현재),2000
기아,쏘울,올 뉴 쏘울 (13~16년),2000
기아,오피러스,뉴 오피러스 (06~09년),4000
기아,오피러스,오피러스 프리미엄 (09~11년),3500
기아,카니발,그랜드 카니발 (05~10년),3500
기아,카니발,뉴 카니발 R (10~14년),3500
기아,카니발,더 뉴 카니발 (18~20년),3860
기아,카니발,올 뉴 카니발 (14~18년),3600
기아,카니발,카니발 4세대 (20년~현재),3800
기아,카렌스,뉴 카렌스 (06~08년),2200
기아,카렌스,더 뉴 카렌스 (16~18년)0,2200
기아,카렌스,올 뉴 카렌스 (13~16년),2200
기아,포르테,포르테 (08~13년),1800
기아,포르테,포르테 쿱 (09~13년),2000
기아,포르테,포르테 해치백 (10~13년),1500
기아,프라이드,뉴 프라이드 (05~11년),1500
기아,프라이드,더 뉴 프라이드 (15~17년),1600
기아,프라이드,올 뉴 프라이드 (11~15년),1600
기아,EV6,EV6 (21년~현재),5500
기아,K3,더 뉴 K3 (15~18년),2000
기아,K3,올 뉴 K3 (18~21년),2400
기아,K3,K3 (12~15년),2000
기아,K3,K3 쿱 (13~16년),2000
기아,K5,더 뉴 K5 (13~15년),2500
기아,K5,더 뉴 K5 (18~20년),2700
기아,K5,더 뉴 K5 하이브리드 (18~19년),3000
기아,K5,K5 (10~13년),2600
기아,K5,K5 (19년~현재),3000
기아,K5,K5 2세대 (15~18년),3000
기아,K5,K5 하이브리드 (11~15년),3000
기아,K5,K5 하이브리드 (19년~현재),3300
기아,K5,K5 하이브리드 2세대 (15~18년),3500
기아,K7,더 뉴 K7 (12~16년),3200
기아,K7,더 프레스티지 K7 (11~12년),3000
기아,K7,올 뉴 K7 (16~19년),3200
기아,K7,올 뉴 K7 하이브리드 (16년~현재),3700
기아,K7,K7 (09~11년),3000
기아,K7,K7 프리미어 (19~21년),3500
기아,K7,K7 프리미어 하이브리드 (19~21년),3800
기아,K7,K7 하이브리드 (13~16년),3700
기아,K8,K8 (21년~현재),3500
기아,K8,K8 하이브리드 (21년~현재),4000
기아,K9,더 뉴 K9 (14~18년),5500
기아,K9,더 뉴 K9 (21년~현재),7500
기아,K9,더 K9 (18년~현재),6500
기아,K9,K9 (12~14년),6500
닛산,로그,로그 2세대,5000
닛산,맥시마,맥시마 8세대,4430
닛산,무라노,무라노 3세대,5000
닛산,알티마,알티마 4세대,4000
닛산,알티마,알티마 5세대,4000
닛산,알티마,알티마 6세대,3440
닛산,쥬크,쥬크,2800
닛산,캐시카이,캐시카이,3400
닛산,큐브,큐브 3세대,2400
닛산,큐브,프론티어,2400
닛산,프론티어,프론티어 3세대,4000
닛산,휘가로,휘가로,4000
닷지,다코타,다코타,5000
닷지,램픽업,램픽업,28800
닷지,캘리버,캘리버,2820
대형버스(16인승이상),레스타,레스타,6500
대형버스(16인승이상),카운티,카운티,6000
대형트럭(2톤이상),마이티,마이티,5500
도요타,86,86,4875
도요타,라브4,라브4 4세대,4000
도요타,벤자,벤자,5000
도요타,시에나,시에나,6000
도요타,캠리,캠리 7세대,3800
도요타,캠리,캠리 8세대,4000
도요타,프리우스,프리우스 4세대,3600
도요타,RAV4,RAV4 4세대,3750
도요타,RAV4,RAV4 5세대,3600
람보르기니,우루스,우루스,25600
랜드로버,레인지로버 스포츠,뉴 레인지로버 스포츠,15000
랜드로버,디스커버리,디스커버리 3,7500
랜드로버,디스커버리,디스커버리 4,9000
랜드로버,디스커버리,디스커버리 5,10000
랜드로버,디스커버리 스포츠,디스커버리 스포츠,6500
랜드로버,레인지로버,레인지로버 3세대,15000
랜드로버,레인지로버 ,레인지로버 4세대,20000
랜드로버,레인지로버,레인지로버 5세대,20000
랜드로버,레인지로버 벨라,레인지로버 벨라,11000
랜드로버,레인지로버 스포츠,레인지로버 스포츠,11000
랜드로버,레인지로버 이보크,레인지로버 이보크,9000
랜드로버,레인지로버  이보크,레인지로버이보크 1세대,9000
랜드로버,레인지로버  이보크,레인지로버이보크 2세대,9000
랜드로버,레인지로버 이보크,올 뉴 레인지로버 이보크,8000
랜드로버,프리랜더,프리랜더2,6000
렉서스,CT,CT,4500
렉서스,ES,ES 5세대,5500
렉서스,ES,ES 6세대,6000
렉서스,ES,ES 7세대,6000
렉서스,GS,GS 4세대,8000
렉서스,IS,IS 2세대,6000
렉서스,IS,IS 3세대,5500
렉서스,LS,LS 4세대,12000
렉서스,LS,LS 5세대,13000
렉서스,NX,NX,6200
렉서스,RX,RX 4세대,9000
렉서스,UX,UX,5000
롤스로이스,레이스,레이스,40000
르노삼성,마스터,뉴 마스터,3000
르노삼성,QM3,뉴 QM3,2500
르노삼성,QM5,뉴 QM5,3000
르노삼성,QM6,뉴 QM6,3500
르노삼성,SM3,뉴 SM3,2000
르노삼성,SM5,뉴 SM5,2200
르노삼성,SM5,뉴 SM5 (신형),2500
르노삼성,SM5,뉴SM5 플래티넘,2500
르노삼성,QM6,더 뉴 QM6,3000
르노삼성,SM6,더 뉴 SM6,3000
르노삼성,마스터,마스터,3800
르노삼성,마스터,미스터,3800
르노삼성,SM7,올 뉴 SM7,3300
르노삼성,조에,조에,4300
르노삼성,캡처,캡처,2800
르노삼성,클리오,클리오,2200
르노삼성,트위지,트위지,1500
르노삼성,QM3,QM3,2400
르노삼성,QM5,QM5,2700
르노삼성,QM5,QM5 네오,3000
르노삼성,QM6,QM6,3000
르노삼성,SM3,SM3 네오,2000
르노삼성,SM3,SM3 뉴 제너레이션,1500
르노삼성,SM5,SM5,2000
르노삼성,SM5,SM5 노바,2500
르노삼성,SM5,SM5 뉴 임프레션,2300
르노삼성,SM6,SM6,3000
르노삼성,SM7,SM7,3200
르노삼성,SM7,SM7 노바,3300
르노삼성,SM7,SM7 뉴 아트,3200
르노삼성,XM3,XM3,2300
링컨,컨티넨탈,컨티넨탈 10세대,8900
링컨,MKS,MKS,5700
링컨,코세어,코세어,5850
링컨,MKX,MKX 1세대,5700
링컨,에비에이터,올 뉴 에비에이터,10060
링컨,MKX,MKX 2세대,6100
링컨,노틸러스,노틸러스,6500
링컨,MKC,MKC,5230
링컨,MKZ,MKZ 2세대,5600
마세라티,르반떼,르반떼,19200
마세라티,콰트로포르테,콰트로포르테  6세대,22100
마세라티,기블리,기블리,14120
미니,쿠퍼,쿠퍼 2세대,4600
미니,쿠퍼,쿠퍼 3세대,4930
미니,컨트리맨,쿠퍼 컨트리맨 1세대,4860
미니,쿠퍼,쿠퍼 1세대,4860
미니,쿠페,쿠퍼 쿠페,4660
미니,컨버터블,쿠퍼 컨버터블 2세대,4360
미니,클럽맨,쿠퍼 클럽맨 1세대,4240
미니,클럽맨,쿠퍼 클럽맨 2세대,5040
미니,컨버터블,쿠퍼 컨버터블 3세대,5520
미니,컨트리맨,쿠퍼 컨트리맨 2세대,5200
미쯔비시,이클립스,이클립스,4040
미쯔비시,랜서,랜서,2990
벤츠,GLB클래스,GLB클래스,6210
벤츠,GLK클래스,GLK클래스,6190
벤츠,S클래스,S클래스 5세대,19500
벤츠,SLK클래스,SLK클래스 3세대,8290
벤츠,E클래스,E클래스 8세대,5950
벤츠,GLE클래스,GLE클래스 2세대,5950
벤츠,CLA클래스,CLA클래스 2세대,5560
벤츠,스프린터,스프린터 2세대,15890
벤츠,B클래스,B클래스 2세대,4300
벤츠,S클래스,S클래스 7세대,18300
벤츠,CLS클래스,CLS클래스 2세대,8920
벤츠,V클래스,V클래스 3세대,5720
벤츠,CLA클래스,CLA클래스 1세대,5380
벤츠,GLE클래스,GLE클래스 1세대,5380
벤츠,CLS클래스,CLS클래스 3세대,11160
벤츠,AMG GT,AMG GT,21000
벤츠,M클래스,M클래스 2세대,9380
벤츠,E클래스,E클래스 9세대,9540
벤츠,C클래스,C클래스 4세대,8700
벤츠,G클래스,G클래스 2세대,21650
벤츠,GLS클래스,GLS클래스 2세대,13500
벤츠,A클래스,A클래스 4세대,5090
벤츠,S클래스,S클래스 6세대,24000
벤츠,EQC,EQC,9860
벤츠,GLA클래스,GLA클래스 2세대,5700
벤츠,M클래스,M클래스 3세대,9130
벤츠,A클래스,A클래스 3세대,6130
벤츠,B클래스,B클래스 1세대,3850
벤츠,E클래스,E클래스 10세대,8920
벤츠,C클래스,C클래스 3세대,6050
벤츠,E클래스,E클래스 7세대,6000
벤츠,GLA클래스,GLA클래스 1세대,5350
벤츠,GLC클래스,GLC클래스,8090
벤틀리,플라잉스퍼,플라잉스퍼 1세대,29000
벤틀리,플라잉스퍼,플라잉스퍼 2세대,26500
볼보,V60,V60 1세대,5420
볼보,S90,S90 2세대,6890
볼보,V40,V40 2세대,4000
볼보,C40,C40,6300
볼보,V60,V60 크로스컨트리 2세대,5640
볼보,S40,S40 1세대,3960
볼보,V50,V50,3800
볼보,C30,C30,3820
볼보,XC90,XC90 1세대,9390
볼보,S80,S80 2세대,5850
볼보,XC60,XC60 2세대,6590
볼보,V40,V40 크로스컨트리,4610
볼보,V60,V60 크로스컨트리 1세대,4180
볼보,S60,S60 2세대,4510
볼보,V90,V90 크로스컨트리,7240
볼보,S60,S60 3세대,5000
볼보,XC90,XC90 2세대,8720
볼보,XC60,XC60 1세대,6220
북기은상,CK미니밴,CK,1100
선롱,두에고,두에고,6800
쉐보레,마티즈,마티즈 크리에이티브,1100
쉐보레,크루즈,어메이징 뉴 크루즈,2000
쉐보레,라세티,라세티 프리미어,1600
쉐보레,젠트라,젠트라,1300
쉐보레,트레일블레이저,트레일블레이저,2500
쉐보레,트랙스,트랙스,2000
쉐보레,올란도,올란도,2500
쉐보레,임팔라,임팔라,3900
쉐보레,스파크,스파크,1000
쉐보레,스파크,더 뉴 스파크,1200
쉐보레,마티즈,All New 마티즈,1200
쉐보레,이쿼녹스,이쿼녹스,3500
쉐보레,콜로라도,콜로라도,4400
쉐보레,트랙스,트랙스더 뉴 K5 (13~15년),2500
쉐보레,아베오,아베오,1550
쉐보레,윈스톰,윈스톰 맥스,2800
쉐보레,트랙스,더 뉴 트랙스,2000
쉐보레,크루즈,크루즈,2100
쉐보레,토스카,토스카 프리미엄,1900
쉐보레,라보,뉴 라보,860
쉐보레,말리부,더 뉴 말리부,3150
쉐보레,알페온,알페온,3600
쉐보레,카마로,카마로,5000
쉐보레,토스카,토스카,2500
쉐보레,베리타스,베라티스,5250
쉐보레,볼트,볼트EV,4130
쉐보레,익스프레스밴,익스프레스,8000
쉐보레,크루즈,올 뉴 크루즈,2300
쉐보레,트래버스,트래버스,5500
쉐보레,콜로라도,리얼 뉴 콜로라도,4050
쉐보레,스파크,더 넥스트 스파크,1000
쉐보레,말리부,말리부,3800
쉐보레,카마로,더 뉴 카마로SS,5100
쉐보레,캡티바,캡티바,3100
쉐보레,말리부,올 뉴 말리부,3000
쉐보레,아베오,더 뉴 아베오,1800
쉐보레,윈스톰,윈스톰,3100
쉐보레,카마로,카마로SS,5400
쉐보레,다마스,뉴다마스,1000
스마트,포투,포투 2세대,2600
시트로엥,C4,그랜드 C4 피카소,4200
시트로엥,DS7,DS7 크로스백,5800
시트로엥,C5,C5 에어크로스,4300
시트로엥,C3,C3 에어크로스,3100
시트로엥,DS3,DS3,3300
시트로엥,DS5,DS5,4700
시트로엥,C4,C4 칵투스,2790
시트로엥,DS4,DS4,4190
쌍용,체어맨,체어맨H,4100
쌍용,액티언,액티언,2300
쌍용,체어맨,체어맨 W,7100
쌍용,코란도,코란도 C,2600
쌍용,체어맨,체어맨 H 뉴 클래식,4300
쌍용,액티언,액티언스포츠,2200
쌍용,렉스턴,슈퍼 렉스턴,3200
쌍용,체어맨,체어맨 H,3900
쌍용,체어맨,체어맨W,7700
쌍용,로디우스,뉴 로디우스,2900
쌍용,로디우스,로디우스,2700
쌍용,렉스턴,렉스턴 2,3500
쌍용,카이런,뉴카이런,3000
쌍용,티볼리,티볼리,2050
쌍용,티볼리,베리 뉴 티볼리,2300
쌍용,렉스턴,G4 렉스턴,4000
쌍용,코란도,뉴 코란도 C,2800
쌍용,체어맨,뉴 체어맨W,8390
쌍용,렉스턴,더 뉴 렉스턴 스포츠,3300
쌍용,코란도,뷰티풀 코란도,2700
쌍용,코란도,뉴 코란도,2600
쌍용,코란도,코란도 투리스모,3000
쌍용,코란도,더 뉴 코란도 스포츠,2500
쌍용,코란도,코란도 스포츠,2500
쌍용,렉스턴,올 뉴 렉스턴,4500
쌍용,코란도,뉴 스타일 코란도 C,2800
쌍용,렉스턴,렉스턴W,3450
쌍용,렉스턴,더 뉴 렉스턴 스포츠 칸,3550
쌍용,티볼리,티볼리 아머,2250
쌍용,티볼리,티볼리 에어,2250
쌍용,렉스턴,렉스턴 스포츠,2800
쌍용,코란도,뉴 스타일 코란도,2650
쌍용,렉스턴,렉스턴 스포츠 칸,3250
아우디,A1,A1,3500
아우디,A3,A3 3세대,4000
아우디,A4,A4 3세대,5000
아우디,A4,A4 4세대,5000
아우디,A4,A4 5세대,5500
아우디,A5,A5 1세대,6450
아우디,A5,A5 2세대,6350
아우디,A6,A6 3세대,7000
아우디,A6,A6 4세대,7000
아우디,A6,A6 5세대,7000
아우디,A7,A7 1세대,9000
아우디,A7,A7 2세대,16000
아우디,A8,A8 2세대,12000
아우디,A8,A8 3세대,14000
아우디,A8,A8 4세대,15000
아우디,e트론,e트론,10000
아우디,Q3,Q3 1세대,6000
아우디,Q3,Q3 2세대,5000
아우디,Q5,Q5 1세대,7000
아우디,Q5,Q5 2세대,7000
아우디,Q7,Q7 1세대,10000
아우디,Q7,Q7 2세대,9500
아우디,Q8,Q8,10000
아우디,RS5,RS5,12000
아우디,S4,S4,8000
아우디,S7,S7,12000
아우디,TT,TT 1세대,6000
아우디,TT,TT 2세대,6000
애스턴마틴,밴티지,밴티지,20000
인피니티,M,올 뉴 M,6000
인피니티,EX,EX,5500
인피니티,FX,FX,8000
인피니티,G37,G37,5000
인피니티,Q30,Q30,4000
인피니티,Q50,Q50,4200
인피니티,Q70,Q70,6000
인피니티,QX60,QX60,6000
인피니티,QX7,QX7,6890
인피니티,G,V36,4500
재규어,EPACE,EPACE,6470
재규어,XF,XF,8320
재규어,XJ,XJ 5세대,16600
재규어,XE,XE,6120
재규어,F타입,F타입,15080
재규어,FPACE,FPACE,8110
재규어,XJ,XJ,13200
재규어,XF,뉴 XF,7670
제네시스,제네시스,EQ900,9000
제네시스,제네시스,더 올 뉴 G80,7200
제네시스,제네시스,GV80,6900
제네시스,제네시스,G70,4400
제네시스,제네시스,GV70,6484
제네시스,제네시스,G(0,
제네시스,제네시스,G80,6117
제네시스,제네시스,더 뉴 G70,4915
제네시스,제네시스,G90,10737
제네시스,제네시스,GV60,7143
지프,체로키,체로키 5세대,4930
지프,글래디에이터,글래디에이터,7070
지프,랭글러,랭글러 4세대,6000
지프,레니게이드,레니게이드,4090
지프,체로키,체로키 4세대,6870
지프,컴패스,컴패스 1세대,3580
지프,체로키,체로키 5세대,4440
지프,컴패스,컴패스 2세대,4590
지프,랭글러,랭글러 3세대,5290
캐딜락,CTS,CTS,7088
캐딜락,에스컬레이드,에스컬레이드 3세대,12420
캐딜락,XT5,XT5,6793
캐딜락,SRX,SRX,7050
캐딜락,CT6,CT6,8837
캐딜락,ATS,ATS,5450
캐딜락,에스컬레이드,에스컬레이드 4세대,13817
크라이슬러,300C,300C 1세대,6850
크라이슬러,300C,300C 2세대,5770
크라이슬러,200,300C 2세대,5770
크라이슬러,퍼시피카,퍼시피카,5950
테슬라,모델 3,모델 3,6469
토요타,RAV4,RAV4,3740
토요타,시에나,시에나,5723
토요타,프리우스,프리우스,3712
토요타,툰드라,툰드라,8500
토요타,캠리,캠리,3560
포드,익스플로러,익스플로러 5세대,5460
포드,머스탱,머스탱 6세대,5370
포드,F150,F150,4500
포드,퓨전,퓨전 1세대,4760
포드,몬데오,몬데오 4세대,3850
포드,포커스,포커스,3460
포드,토러스,토러스,4440
포드,레인저,레인저,6390
포드,머스탱,머스탱 5세대,4805
포드,쿠가,쿠가,4200
포드,퓨전,퓨전 2세대,3995
포드,이스케이프,이스케이프,3950
포르쉐,마칸,마칸,11450
포르쉐,파나메라,파나메라 1세대,12030
포르쉐,타이칸,타이칸,19000
포르쉐,카이엔,카이엔 3세대,13970
포르쉐,카이엔,카이엔 2세대,17680
포르쉐,박스터,박스터,13180
포르쉐,파나메라,파나메라 2세대,15140
폭스바겐,티구안,티구안 1세대,4290
폭스바겐,투아렉,투아렉 2세대,8500
폭스바겐,골프,골프 5세대,3800
폭스바겐,비틀,더 비틀 3세대,3281
폭스바겐,골프,골프 7세대,4000
폭스바겐,티구안,티구안 2세대,4300
폭스바겐,폴로,폴로 5세대,2650
폭스바겐,CC,뉴 CC,4590
폭스바겐,TRoc,티록,3500
폭스바겐,비틀,뉴비틀 2세대,3300
폭스바겐,시로코,시로코 3세대,4271
폭스바겐,CC,CC,5190
폭스바겐,파사트,파사트 7세대,3613
폭스바겐,파사트,파사트 GT 8세대,4800
폭스바겐,티록,티록,3600
폭스바겐,골프,골프 6세대,3500
폭스바겐,티구안,티구안 올스페이스 2세대,4600
폭스바겐,제타,제타 6세대,3300
폭스바겐,페이톤,페이톤,10000
폭스바겐,아테온,아테온,5800
폭스바겐,제타,제타,3300
폭스바겐,투아렉,투아렉 1세대,10000
푸조,508,508 2세대,4600
푸조,508,508 1세대,4200
푸조,5008,5008 2세대,4472
푸조,207,207,3410
푸조,208,208,2590
푸조,3008,3008 2세대,3730
푸조,3008,3008 1세대,4058
푸조,308,308,4750
푸조,2008,2008,3113
피아트,500,500,2790
피아트,500,500X,3580
피아트,124,124,3100
피아트,프리몬트,프리몬트,4490
험머,H2,H2,3312
현대,크루즈,더 뉴 맥스크루즈,3800
현대,그랜저,더 뉴 그랜저IG,3200
현대,i40,i40 살룬,2800
현대,쏘나타,쏘나타 DN8,2600
현대,아반떼,아반떼AD,2000
현대,i30,뉴 i30,2615
현대,i30,I30,2200
현대,쏠라티,쏠라티,6600
현대,그랜저,그랜저HG,3600
현대,제네시스,제네시스DH,5700
현대,제네시스,제네시스,5200
현대,싼타페,싼타페CM,3100
현대,그랜저,더 뉴 그랜저IG 하이브리드,3700
현대,그랜저,그랜저IG 하이브리드,3700
현대,아반떼,더 뉴 아반떼AD,1800
현대,투싼,올 뉴 투싼,3000
현대,아이오닉,아이오닉 플러그인,3300
현대,아반떼,더 뉴 아반떼,2400
현대,아반떼,더 뉴 아반떼MD,2155
현대,투싼,올 뉴 투싼,3000
현대,그랜저,더 뉴 그랜저 하이브리드,4400
현대,싼타페,싼타페TM,3600
현대,마이티,마이티,4800
현대,쏘나타,YF쏘나타,2600
현대,투싼,투싼ix,2400
현대,코나,더 뉴 코나 하이브리드,2800
현대,i40,더 뉴 i40 살룬,2800
현대,포터,뉴 포터,2100
현대,포터,포터2,2100
현대,스타렉스,그랜드 스타렉스,2600
현대,포레스트,포레스트,6000
현대,아반떼,아반떼 CN7 하이브리드,1800
현대,아반떼,아반떼MD,1700
현대,쏘나타,쏘나타 뉴 라이즈,2600
현대,아이오닉5,아이오닉5,5300
현대,넥쏘,넥쏘,6800
현대,싼타페,싼타페 더 프라임,3400
현대,아이오닉,더 뉴 아이오닉 일렉트릭,4300
현대,그랜저,그랜저IG,3300
현대,i30,i30CW,1700
현대,팰리세이드,펠리세이드,4400
현대,투싼,디 올 뉴 투싼,3000
현대,i40,더 뉴 i40,2700
현대,포터,포터2 일렉트릭,4100
현대,그랜저,더 럭셔리 그랜저,3500
현대,에쿠스,뉴 에쿠스,8000
현대,쏘나타,EF쏘나타,1700
현대,갤로퍼,갤로퍼,1800
현대,코나,코나 하이브리드,2700
현대,아반떼,아반떼 하이브리드,2600
현대,쏘나타,LF쏘나타,2600
현대,코나,더 뉴 코나,2600
현대,갤로퍼,갤로퍼2,1800
현대,제네시스,제네시스 쿠페,3200
현대,i40,i40,2700
현대,코나,코나,2500
현대,엑센트,엑센트(신형),1900
현대,싼타페,더 뉴 싼타페,3800
현대,쏘나타,쏘나타 뉴 라이즈 하이브리드,3000
현대,크루즈,맥스크루즈,3900
현대,아슬란,아슬란,4200
현대,싼타페,싼타페 더 프라임,3000
현대,코나,코나 N,3418
현대,쏘나타,LF쏘나타 하이브리드,3139
현대,투싼,디 올 뉴 투싼 하이브리드,3200
현대,포터,포터,2000
현대,i30,i30,2100
현대,쏘나타,쏘나타 하이브리드,3200
현대,크루즈,베라크루즈,3850
현대,싼타페,싼타페 더 스타일,3100
현대,i30,i30 GD,1950
현대,i30,더 뉴 i30,2240
현대,벨로스터,더 뉴 벨로스터,2400
현대,싼타페,싼타페DM,2970
현대,벨로스터,벨로스터 N,3200
현대,i30,i30 PD,2379
현대,싼타페,더 뉴 싼타페 하이브리드,4000
현대,벨로스터,벨로스터,2400
현대,코나,코나 일렉트릭,4890
현대,제네시스,더 뉴 제네시스 쿠페,3400
현대,아반떼,아반떼 쿠페,2000
현대,아반떼,아반떼HD,1700
현대,투싼,투싼,3000
현대,쏘나타,쏘나타 더 브릴리언트,2600
현대,베뉴,베뉴,1900
현대,그랜저,뉴그랜저XG,3106
현대,그랜저,그랜저 뉴 럭셔리,3300
현대,캐스퍼,캐스퍼,1600
현대,아이오닉,아이오닉 하이브리드,2400
현대,그랜저,그랜저HG 하이브리드,4000
현대,뉴클릭,뉴클릭,1000
현대,그랜저,더 뉴 그랜저,3925
현대,아반떼,아반떼 CN7,2600
현대,벨로스터,벨로스터 JS,2300
현대,스타렉스,더 뉴 그랜드 스타렉스,2625
현대,그랜저,그랜저TG,2498
현대,쏘나타,YF소나타 하이브리드,3300
현대,아반떼,아반떼,1700
현대,테라칸,테라칸,2500
현대,쏘나타,NF쏘나타 트랜스폼,2400
현대,싼타페,싼타페,3800
현대,스타리아,스타리아,3400
현대,쏘나타,쏘나타 DN8 하이브리드,3300
현대,쏘나타,NF쏘나타,1700
현대,투싼,뉴 투싼ix,2200
현대,베르나,베르나,1200
현대,아이오닉,더 뉴 아이오닉 하이브리드,2800
혼다,어코드,어코드 9세대,3800
혼다,오딧세이,올 뉴 오딧세이,5710
혼다,시빅,시빅 9세대,3150
혼다,파일럿,파일럿 2세대,4890
혼다,어코드,어코드 7세대,2500
혼다,어코드,어코드 10세대,3800
혼다,시빅,시빅 10세대,3340
혼다,시빅,시빅 8세대,3000
혼다,파일럿,파일럿 3세대,5950
혼다,CRV,CRV 4세대,3900
혼다,HRV,HRV,3190
혼다,CRV,CRV 3세대,3700
혼다,CRV,CRV 5세대,3900