,0,1
0,BMW,1시리즈
1,BMW,2시리즈
2,BMW,3시리즈
3,BMW,4시리즈
4,BMW,5시리즈
5,BMW,6시리즈
6,BMW,7시리즈
7,BMW,M2
8,BMW,M3
9,BMW,M4
10,BMW,M5
11,BMW,M6
12,BMW,X1
13,BMW,X2
14,BMW,X3
15,BMW,X4
16,BMW,X5
17,BMW,X6
18,BMW,X7
19,BMW,Z4
20,BMW,i3
21,BMW,i8
22,기아,EV6
23,기아,K3
24,기아,K5
25,기아,K7
26,기아,K8
27,기아,K9
28,기아,니로
29,기아,레이
30,기아,로체
31,기아,모닝
32,기아,모하비
33,기아,봉고
34,기아,비스토
35,기아,셀토스
36,기아,스토닉
37,기아,스팅어
38,기아,스포티지
39,기아,쏘렌토
40,기아,쏘울
41,기아,오피러스
42,기아,카니발
43,기아,카렌스
44,기아,포르테
45,기아,프라이드
46,닛산,로그
47,닛산,맥시마
48,닛산,무라노
49,닛산,알티마
50,닛산,쥬크
51,닛산,캐시카이
52,닛산,큐브
53,닛산,프론티어
54,닛산,휘가로
55,닷지,다코타
56,닷지,램픽업
57,닷지,캘리버
58,대형버스(16인승이상),레스타
59,대형버스(16인승이상),카운티
60,대형트럭(2톤이상),마이티
61,도요타,86
62,도요타,RAV4
63,도요타,라브4
64,도요타,벤자
65,도요타,시에나
66,도요타,캠리
67,도요타,프리우스
68,람보르기니,우루스
69,랜드로버,디스커버리
70,랜드로버,디스커버리 스포츠
71,랜드로버,레인지로버
72,랜드로버,레인지로버 
73,랜드로버,레인지로버  이보크
74,랜드로버,레인지로버 벨라
75,랜드로버,레인지로버 스포츠
76,랜드로버,레인지로버 이보크
77,랜드로버,프리랜더
78,렉서스,CT
79,렉서스,ES
80,렉서스,GS
81,렉서스,IS
82,렉서스,LS
83,렉서스,NX
84,렉서스,RX
85,렉서스,UX
86,롤스로이스,레이스
87,르노삼성,QM3
88,르노삼성,QM5
89,르노삼성,QM6
90,르노삼성,SM3
91,르노삼성,SM5
92,르노삼성,SM6
93,르노삼성,SM7
94,르노삼성,XM3
95,르노삼성,마스터
96,르노삼성,조에
97,르노삼성,캡처
98,르노삼성,클리오
99,르노삼성,트위지
100,링컨,MKC
101,링컨,MKS
102,링컨,MKX
103,링컨,MKZ
104,링컨,노틸러스
105,링컨,에비에이터
106,링컨,컨티넨탈
107,링컨,코세어
108,마세라티,기블리
109,마세라티,르반떼
110,마세라티,콰트로포르테
111,미니,컨버터블
112,미니,컨트리맨
113,미니,쿠퍼
114,미니,쿠페
115,미니,클럽맨
116,미쯔비시,랜서
117,미쯔비시,이클립스
118,벤츠,AMG GT
119,벤츠,A클래스
120,벤츠,B클래스
121,벤츠,CLA클래스
122,벤츠,CLS클래스
123,벤츠,C클래스
124,벤츠,EQC
125,벤츠,E클래스
126,벤츠,GLA클래스
127,벤츠,GLB클래스
128,벤츠,GLC클래스
129,벤츠,GLE클래스
130,벤츠,GLK클래스
131,벤츠,GLS클래스
132,벤츠,G클래스
133,벤츠,M클래스
134,벤츠,SLK클래스
135,벤츠,S클래스
136,벤츠,V클래스
137,벤츠,스프린터
138,벤틀리,플라잉스퍼
139,볼보,C30
140,볼보,C40
141,볼보,S40
142,볼보,S60
143,볼보,S80
144,볼보,S90
145,볼보,V40
146,볼보,V50
147,볼보,V60
148,볼보,V90
149,볼보,XC60
150,볼보,XC90
151,북기은상,CK미니밴
152,선롱,두에고
153,쉐보레,다마스
154,쉐보레,라보
155,쉐보레,라세티
156,쉐보레,마티즈
157,쉐보레,말리부
158,쉐보레,베리타스
159,쉐보레,볼트
160,쉐보레,스파크
161,쉐보레,아베오
162,쉐보레,알페온
163,쉐보레,올란도
164,쉐보레,윈스톰
165,쉐보레,이쿼녹스
166,쉐보레,익스프레스밴
167,쉐보레,임팔라
168,쉐보레,젠트라
169,쉐보레,카마로
170,쉐보레,캡티바
171,쉐보레,콜로라도
172,쉐보레,크루즈
173,쉐보레,토스카
174,쉐보레,트래버스
175,쉐보레,트랙스
176,쉐보레,트레일블레이저
177,스마트,포투
178,시트로엥,C3
179,시트로엥,C4
180,시트로엥,C5
181,시트로엥,DS3
182,시트로엥,DS4
183,시트로엥,DS5
184,시트로엥,DS7
185,쌍용,렉스턴
186,쌍용,로디우스
187,쌍용,액티언
188,쌍용,체어맨
189,쌍용,카이런
190,쌍용,코란도
191,쌍용,티볼리
192,아우디,A1
193,아우디,A3
194,아우디,A4
195,아우디,A5
196,아우디,A6
197,아우디,A7
198,아우디,A8
199,아우디,Q3
200,아우디,Q5
201,아우디,Q7
202,아우디,Q8
203,아우디,RS5
204,아우디,S4
205,아우디,S7
206,아우디,TT
207,애스턴마틴,밴티지
208,인피니티,EX
209,인피니티,FX
210,인피니티,G
211,인피니티,G37
212,인피니티,M
213,인피니티,Q30
214,인피니티,Q50
215,인피니티,Q70
216,인피니티,QX60
217,인피니티,QX7
218,재규어,EPACE
219,재규어,FPACE
220,재규어,F타입
221,재규어,XE
222,재규어,XF
223,재규어,XJ
224,제네시스,제네시스
225,지프,글래디에이터
226,지프,랭글러
227,지프,레니게이드
228,지프,체로키
229,지프,컴패스
230,캐딜락,ATS
231,캐딜락,CT6
232,캐딜락,CTS
233,캐딜락,SRX
234,캐딜락,XT5
235,캐딜락,에스컬레이드
236,크라이슬러,200
237,크라이슬러,300C
238,크라이슬러,퍼시피카
239,테슬라,모델 3
240,토요타,RAV4
241,토요타,시에나
242,토요타,캠리
243,토요타,툰드라
244,토요타,프리우스
245,포드,F150
246,포드,레인저
247,포드,머스탱
248,포드,몬데오
249,포드,이스케이프
250,포드,익스플로러
251,포드,쿠가
252,포드,토러스
253,포드,포커스
254,포드,퓨전
255,포르쉐,마칸
256,포르쉐,박스터
257,포르쉐,카이엔
258,포르쉐,타이칸
259,포르쉐,파나메라
260,폭스바겐,CC
261,폭스바겐,TRoc
262,폭스바겐,골프
263,폭스바겐,비틀
264,폭스바겐,시로코
265,폭스바겐,아테온
266,폭스바겐,제타
267,폭스바겐,투아렉
268,폭스바겐,티구안
269,폭스바겐,티록
270,폭스바겐,파사트
271,폭스바겐,페이톤
272,폭스바겐,폴로
273,푸조,2008
274,푸조,207
275,푸조,208
276,푸조,3008
277,푸조,308
278,푸조,5008
279,푸조,508
280,피아트,124
281,피아트,500
282,피아트,프리몬트
283,험머,H2
284,현대,i30
285,현대,i40
286,현대,갤로퍼
287,현대,그랜저
288,현대,넥쏘
289,현대,뉴클릭
290,현대,마이티
291,현대,베뉴
292,현대,베르나
293,현대,벨로스터
294,현대,스타렉스
295,현대,스타리아
296,현대,싼타페
297,현대,쏘나타
298,현대,쏠라티
299,현대,아반떼
300,현대,아슬란
301,현대,아이오닉
302,현대,아이오닉5
303,현대,에쿠스
304,현대,엑센트
305,현대,제네시스
306,현대,캐스퍼
307,현대,코나
308,현대,크루즈
309,현대,테라칸
310,현대,투싼
311,현대,팰리세이드
312,현대,포레스트
313,현대,포터
314,혼다,CRV
315,혼다,HRV
316,혼다,시빅
317,혼다,어코드
318,혼다,오딧세이
319,혼다,파일럿
